year,country_name,cn,ccode,Pct CAB,current,Regime Type,idc,ldc,emg,eap,eca,mena,sa,we,na,ssa,lac,oil,emg2,fc,ez,euro_start,Regime,Phi0,Phi1,current_phi,Country,opn,tr,tr_g,tr_imp,reserves_st_debt,st_debt,current_v,exch_rate,mscps,dcps,pop,ccode_2,ae,emde,emde_excl_China,eap_emde,eca_emde,sar_emde,ssa_emde,lac_emde,mna_emde,com_imp_emde,com_exp_emde,world,eap_excl_china,mna_oil_exp,mna_oil_imp,ssa_ind_com_exp,ssa_other_emde,bric,euro,emde_excl_BRIC,com_im_no_bric,com_ex_no_bric,emde_tre,emde_ergy_exp,emde_mtl_exp,natl_saving,rypc_ppp,gsur,country_name_2,kaopen,ka_open,reer,d_reer,d_reer_sd5,d_reer_mn5,d_reer_var5,cv5_d_reer,fd,trend_fd,fd_gap,mineral,fuel,food,manufact,commod_exp,man_dummy,food_dummy,fuel_dummy,cab_def
2018-01-01,estonia,939,EST,0.624983125,0.00563761638477445,Stationary,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,-0.978177291,-0.170599431,-0.978177291,Estonia,1.43485224246979,755005588.3,744752388.3,0.371651262044907,.,.,176021223.7,0.84677267074585,0.607637226581573,0.607637226581573,1321977,EST,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.284040004014969,42031.328125,-0.011119999922812,Estonia,2.28989291191101,1,112.209999084473,0.0381996966898441,0.0482487864792347,0.0128777408972383,0.00298225064761937,3.74668097496033,-0.498177230358124,-0.443895608186722,-0.054281622171402,0.0275086667388678,0.0625245645642281,0.0894547998905182,0.705010592937469,0.179488033056259,1,0,0,0
2019-01-01,estonia,939,EST,2.04046,0.0200905948877335,Stationary,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,-0.978177291,-0.170599431,-0.978177291,Estonia,1.40352141857147,1426439025,1414255025,0.705875992774963,.,.,640362558.7,0.893276274204254,0.582395434379578,0.582395434379578,1326898,EST,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.283679991960526,43436.01953125,0.00116999994497746,Estonia,2.28989291191101,1,112.029998779297,-0.0408443510532379,0.0481850132346153,-0.00132305617444217,0.00368450628593564,36.4194755554199,-0.54060560464859,-0.469408571720123,-0.0711970329284668,0.0241631176322699,0.0515338517725468,0.104446083307266,0.711135268211365,0.180143058300018,1,0,0,0
2020-01-01,estonia,939,EST,-2.17783475,-0.0273062419146299,Stationary,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,-0.978177291,-0.170599431,-0.170599431,Estonia,1.37392640113831,1996892749,1981763949,0.98479700088501,.,.,-868905709.3,0.875506401062012,0.62467497587204,0.62467497587204,1329522,EST,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.271349996328354,42093.94140625,-0.0534899979829788,Estonia,2.28989291191101,1,112.440002441406,0.0594709329307079,0.0626347064971924,0.0264373254030943,0.0014829650754109,2.3691771030426,-0.470523804426193,-0.492157846689224,0.021634042263031,0.0213043596595526,0.048606101423502,0.106114082038403,0.716950654983521,0.176024556159973,1,0,0,1
2021-01-01,estonia,939,EST,-3.84845175,-0.0372846871614456,Stationary,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,-0.978177291,-0.170599431,-0.978177291,Estonia,1.60394680500031,2371477145,2356916345,0.862676441669464,.,.,-1387160436,0.845494151115417,0.592887163162231,0.592887163162231,1330932,EST,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.268579989671707,45054.58984375,-0.024380000308156,Estonia,2.28989291191101,1,119.930000305176,0.496187657117844,0.122680619359016,0.150984108448029,0.0466257892549038,0.812539935112,-0.522751152515411,-0.512690663337708,-0.0100604891777039,0.0290267318487167,0.0684172883629799,0.0911366641521454,0.697564542293549,0.188580691814423,1,0,0,1
2022-01-01,estonia,939,EST,-3.75361,-0.0389799848198891,Stationary,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,-0.978177291,-0.170599431,-0.978177291,Estonia,1.74563992023468,2216592399,2202093599,0.723277807235718,.,.,-1495897722,0.949623763561249,0.570043921470642,0.570043921470642,1348840,EST,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.250349998474121,44484.3515625,-0.00956999976187944,Estonia,2.28989291191101,1,131.270004272461,0.0751245692372322,0.129345670342445,0.0577223710715771,0.00814825482666492,2.24082398414612,-0.562041878700256,-0.531337797641754,-0.0307040810585022,0.0210274383425713,0.146886467933655,0.0983834266662598,0.624992847442627,0.266297340393066,1,0,0,1
2023-01-01,estonia,939,EST,-1.995318625,-0.0175017360597849,Stationary,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,-0.978177291,-0.170599431,-0.978177291,Estonia,1.54859232902527,2593038274,2576539074,0.864156723022461,.,.,-722668450.6,0.924839556217194,0.579111993312836,0.579111993312836,1370286,EST,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.259389996528625,42463.51171875,-0.0345400013029575,,.,.,133.729995727539,-0.0531482584774494,0.128805220127106,0.00934604555368423,0.00361099769361317,13.7817878723145,-0.54625940322876,-0.548530638217926,0.00227123498916626,0.0214143879711628,0.0840546041727066,0.116672791540623,0.66060483455658,0.222141787409782,1,0,0,1
2024-01-01,estonia,939,EST,-1.27093175,-0.0114500196650624,Stationary,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,-0.978177291,-0.170599431,-0.978177291,Estonia,1.5198005437851,2074707140,2053834340,0.679209232330322,.,.,-489659276.5,0.923889517784119,0.610527873039246,0.610527873039246,1371986,EST,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.231030002236366,42247.1796875,-0.0297499988228083,,.,.,136.369995117188,0.0132936965674162,0.0589558705687523,0.024458285421133,0.00321679818443954,2.41046619415283,-0.493431329727173,-0.565007746219635,0.0715764164924622,.,.,.,.,.,0,0,0,1
1975-01-01,finland,172,FIN,-5.729925725,-0.0726075544953346,Unit root,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-0.059064566,-0.06224548,-0.06224548,Finland,0.503280878067017,548653232.8,433174187.1,0.744024276733398,.,.,-2140125901,3.67866659164429,.,.,4711440,FIN,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.289056897163391,.,0.0218459963798523,Finland,-0.170562565326691,0.417621493339539,111.849998474121,0.13818983733654,0.0879321470856667,0.0682603567838669,0.00352506013587117,1.28818762302399,.,.,.,0.0341354124248028,0.0041693327948451,0.0347617603838444,0.771270990371704,0.0730665028095245,1,0,0,1
1976-01-01,finland,172,FIN,-2.63558015,-0.0349799878895283,Unit root,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-0.059064566,-0.06224548,-0.06224548,Finland,0.492636919021606,573064058.5,462113602.8,0.785692453384399,.,.,-1114194870,3.86441659927368,.,.,4725664,FIN,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.273572742938995,.,0.00165399676188827,Finland,1.02761507034302,0.701224625110626,118.830001831055,0.0497700199484825,0.0826656147837639,0.0346807613968849,0.00300293671898544,2.38361597061157,.,.,.,0.037080705165863,0.0158117488026619,0.0381357744336128,0.747192561626434,0.0910282358527184,1,0,0,1
1977-01-01,finland,172,FIN,-0.3138618275,-0.00295739411376417,Unit root,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-0.059064566,-0.06224548,-0.06224548,Finland,0.523853123188019,680322458.4,531099281,0.880984485149384,.,.,-99080934.02,4.02941656112671,.,.,4738902,FIN,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.261855810880661,.,0.00967482570558786,Finland,1.02761507034302,0.701224625110626,108.300003051758,-0.0240571945905685,0.156883150339127,-0.0835681855678558,0.0233749337494373,1.87730717658997,.,.,.,0.0373095087707043,0.021470895037055,0.0412276312708855,0.740824222564697,0.100008033216,1,0,0,1
