country,Mean CAB/GDP%,SD CAB/GDP%,Min CAB/GDP%,Max CAB/GDP%,Start Date,End Date,N
Hungary,-3.53291096942733,3.42747769367913,-7.36178472674684,1.64719861909728,2020-04-01,2022-04-01,9
Iceland,-0.760107788713383,2.27359468099918,-3.14520896934767,3.93255826661327,2020-04-01,2022-04-01,9
India,-0.404086375820918,2.29057427717886,-3.45508053464764,3.47992193281243,2020-04-01,2022-04-01,9
Indonesia,0.344342698937301,0.73738456231711,-0.962748573175657,1.0784708817417,2020-04-01,2022-07-01,10
Ireland,11.4261948034811,6.23474705706108,0.611465736113106,20.5038042716189,2020-04-01,2022-04-01,9
Israel,4.55201708326194,1.1611943236473,2.98637431008868,5.85097789758208,2020-04-01,2022-04-01,9
Italy,2.64692097329693,2.10551388494104,-1.17284139959704,5.03906082070263,2020-04-01,2022-04-01,9
Japan,2.99757208442787,1.32859434454173,0.572770927789451,4.71380704476339,2020-04-01,2022-07-01,10
Kyrgyz Republic,-2.0221987032206,16.4310804170595,-31.586889279037,16.0609945522099,2020-04-01,2021-10-01,7
Latvia,-2.32931143152199,4.93719715083271,-7.44552820541881,4.79929703590938,2020-04-01,2022-04-01,9
Lithuania,1.83465640377783,4.92398123926945,-4.46620080298159,7.35598790064852,2020-04-01,2022-04-01,9
Luxembourg,5.92602234532377,9.48691742833551,-9.3358132897195,22.7032109660684,2020-04-01,2022-04-01,9
Mexico,0.443234948853929,3.04586309910498,-2.97413457662884,5.96601071928942,2020-04-01,2022-04-01,9
Netherlands,6.14869285208436,1.61860718656277,3.91647784344371,9.09709388107244,2020-04-01,2022-04-01,9
New Zealand,-4.91864604349522,3.31560674505881,-9.70068597392858,0.105568037246569,2020-04-01,2022-04-01,9
Norway,11.2576939299529,9.58850390874081,-2.67817201613775,22.0753053750359,2020-04-01,2022-04-01,9
Paraguay,2.64520845839078,2.61369612821243,-0.323727359654683,4.59922139387815,2020-04-01,2020-10-01,3
Poland,-0.482412035844858,3.20776202739351,-4.731689685349,3.89887468442009,2020-04-01,2022-04-01,9
Portugal,-1.198713822361,0.568325521630371,-1.91922354394526,-0.0047061247255833,2020-04-01,2022-04-01,9
Russia,4.03694981642295,3.02965472803765,1.17028628776277,9.00980609426922,2020-04-01,2021-07-01,6
Slovak Republic,-1.69015113498626,4.46941233737462,-9.02708928205558,5.11387339203535,2020-04-01,2022-04-01,9
Slovenia,3.92060277374191,4.059940022896,-1.16482644972651,10.6632244602415,2020-04-01,2022-04-01,9
South Africa,2.5589921487932,2.34796576380113,-1.1913894220644,5.79975050821797,2020-04-01,2022-04-01,9
South Korea,4.56634296232046,1.78639122896225,1.72837014298826,7.78349439566231,2020-04-01,2022-04-01,9
Spain,0.779048567933236,0.47889526809597,-0.0784111961495522,1.26083136028233,2020-04-01,2022-04-01,9
Sri Lanka,-1.54919575813921,1.45769288103754,-3.02214896743669,-0.1531925858925,2020-04-01,2021-01-01,4
Sweden,4.90384576138081,1.53153490233224,2.10813241821072,6.53925814763952,2020-04-01,2022-04-01,9
Switzerland,5.3379297661358,4.80030973197201,-6.3060722424264,9.02645861044804,2020-04-01,2022-04-01,9
Turkey,-3.76508276949435,2.34570295255097,-7.42690920125548,-0.51156727036925,2020-04-01,2022-04-01,9
United Kingdom,-3.45422788739397,2.47832907381932,-7.18286132452781,-0.54402372454512,2020-04-01,2022-04-01,9
United States,-3.6485684049252,0.446072923954282,-4.5680601184779,-3.10200307780353,2020-04-01,2022-04-01,9
Vietnam,1.38986014936895,5.16246277980182,-5.64552641165546,8.75951497727338,2020-04-01,2021-10-01,7
