date,ccode,cn,country,pct_cab,source,quarter,year,month,idc,ldc,emg,eap,eca,mena,sa,we,na,ssa,lac,oil,emg2,fc,ez,euro_start
4/1/1964,USA,111,United States,0.8999903,1,1964q2,1964,51,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7/1/1964,USA,111,United States,0.9970652,1,1964q3,1964,54,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10/1/1964,USA,111,United States,0.9533657,1,1964q4,1964,57,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1/1/1965,USA,111,United States,0.7004834,1,1965q1,1965,60,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4/1/1965,USA,111,United States,0.8638836,1,1965q2,1965,63,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7/1/1965,USA,111,United States,0.6966288,1,1965q3,1965,66,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10/1/1965,USA,111,United States,0.6679994,1,1965q4,1965,69,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1/1/1966,USA,111,United States,0.4936323,1,1966q1,1966,72,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4/1/1966,USA,111,United States,0.3920589,1,1966q2,1966,75,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7/1/1966,USA,111,United States,0.2366899,1,1966q3,1966,78,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10/1/1966,USA,111,United States,0.372494,1,1966q4,1966,81,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1/1/1967,USA,111,United States,0.4150823,1,1967q1,1967,84,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4/1/1967,USA,111,United States,0.3142584,1,1967q2,1967,87,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7/1/1967,USA,111,United States,0.2602767,1,1967q3,1967,90,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10/1/1967,USA,111,United States,0.2151028,1,1967q4,1967,93,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1/1/1968,USA,111,United States,0.08621192,1,1968q1,1968,96,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4/1/1968,USA,111,United States,0.1408475,1,1968q2,1968,99,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7/1/1968,USA,111,United States,0.05847554,1,1968q3,1968,102,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10/1/1968,USA,111,United States,-0.02107373,1,1968q4,1968,105,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1/1/1969,USA,111,United States,0.04912734,1,1969q1,1969,108,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4/1/1969,USA,111,United States,-0.05193158,1,1969q2,1969,111,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7/1/1969,USA,111,United States,0.01864157,1,1969q3,1969,114,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10/1/1969,USA,111,United States,0.1375528,1,1969q4,1969,117,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1/1/1970,USA,111,United States,0.2359208,1,1970q1,1970,120,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4/1/1970,USA,111,United States,0.3642581,1,1970q2,1970,123,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7/1/1970,USA,111,United States,0.1896766,1,1970q3,1970,126,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10/1/1970,USA,111,United States,0.08157206,1,1970q4,1970,129,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1/1/1971,USA,111,United States,0.2406718,1,1971q1,1971,132,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4/1/1971,USA,111,United States,-0.1414893,1,1971q2,1971,135,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7/1/1971,USA,111,United States,-0.1820536,1,1971q3,1971,138,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10/1/1971,USA,111,United States,-0.3941873,1,1971q4,1971,141,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1/1/1972,USA,111,United States,-0.5502967,1,1972q1,1972,144,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4/1/1972,USA,111,United States,-0.5334938,1,1972q2,1972,147,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7/1/1972,USA,111,United States,-0.3982749,1,1972q3,1972,150,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10/1/1972,USA,111,United States,-0.3401299,1,1972q4,1972,153,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1/1/1973,USA,111,United States,0.04210557,1,1973q1,1973,156,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4/1/1973,USA,111,United States,0.2469787,1,1973q2,1973,159,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7/1/1973,USA,111,United States,0.7635451,1,1973q3,1973,162,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10/1/1973,USA,111,United States,0.9166227,1,1973q4,1973,165,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1/1/1974,USA,111,United States,0.4324008,1,1974q1,1974,168,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4/1/1974,USA,111,United States,0.02875712,1,1974q2,1974,171,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7/1/1974,USA,111,United States,-0.07563976,1,1974q3,1974,174,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10/1/1974,USA,111,United States,0.1327766,1,1974q4,1974,177,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1/1/1975,USA,111,United States,1.041262,1,1975q1,1975,180,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4/1/1975,USA,111,United States,1.214152,1,1975q2,1975,183,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7/1/1975,USA,111,United States,0.9544864,1,1975q3,1975,186,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10/1/1975,USA,111,United States,1.092727,1,1975q4,1975,189,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1/1/1976,USA,111,United States,0.5638052,1,1976q1,1976,192,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4/1/1976,USA,111,United States,0.3558757,1,1976q2,1976,195,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7/1/1976,USA,111,United States,-0.01781021,1,1976q3,1976,198,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10/1/1976,USA,111,United States,0.03370776,1,1976q4,1976,201,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1/1/1977,USA,111,United States,-0.5404677,1,1977q1,1977,204,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4/1/1977,USA,111,United States,-0.5897148,1,1977q2,1977,207,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7/1/1977,USA,111,United States,-0.5205637,1,1977q3,1977,210,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10/1/1977,USA,111,United States,-1.083414,1,1977q4,1977,213,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1/1/1978,USA,111,United States,-1.274764,1,1978q1,1978,216,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4/1/1978,USA,111,United States,-0.6479579,1,1978q2,1978,219,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7/1/1978,USA,111,United States,-0.612429,1,1978q3,1978,222,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10/1/1978,USA,111,United States,-0.109651,1,1978q4,1978,225,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1/1/1979,USA,111,United States,-0.06712551,1,1979q1,1979,228,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4/1/1979,USA,111,United States,-0.1066668,1,1979q2,1979,231,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7/1/1979,USA,111,United States,0.1384034,1,1979q3,1979,234,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10/1/1979,USA,111,United States,-0.01439122,1,1979q4,1979,237,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1/1/1980,USA,111,United States,-0.4959421,1,1980q1,1980,240,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4/1/1980,USA,111,United States,-0.1345558,1,1980q2,1980,243,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7/1/1980,USA,111,United States,0.6067601,1,1980q3,1980,246,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10/1/1980,USA,111,United States,0.3192704,1,1980q4,1980,249,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1/1/1981,USA,111,United States,0.1232953,1,1981q1,1981,252,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4/1/1981,USA,111,United States,0.1553186,1,1981q2,1981,255,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7/1/1981,USA,111,United States,0.2552897,1,1981q3,1981,258,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10/1/1981,USA,111,United States,0.09253789,1,1981q4,1981,261,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1/1/1982,USA,111,United States,-0.03481658,1,1982q1,1982,264,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4/1/1982,USA,111,United States,0.4548658,1,1982q2,1982,267,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7/1/1982,USA,111,United States,-0.4800491,1,1982q3,1982,270,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10/1/1982,USA,111,United States,-0.5874399,1,1982q4,1982,273,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1/1/1983,USA,111,United States,-0.289859,1,1983q1,1983,276,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4/1/1983,USA,111,United States,-0.8754773,1,1983q2,1983,279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7/1/1983,USA,111,United States,-1.398794,1,1983q3,1983,282,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10/1/1983,USA,111,United States,-1.627952,1,1983q4,1983,285,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1/1/1984,USA,111,United States,-2.142243,1,1984q1,1984,288,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4/1/1984,USA,111,United States,-2.338288,1,1984q2,1984,291,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7/1/1984,USA,111,United States,-2.290164,1,1984q3,1984,294,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10/1/1984,USA,111,United States,-2.56369,1,1984q4,1984,297,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1/1/1985,USA,111,United States,-2.223931,1,1985q1,1985,300,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4/1/1985,USA,111,United States,-2.671921,1,1985q2,1985,303,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7/1/1985,USA,111,United States,-2.854308,1,1985q3,1985,306,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10/1/1985,USA,111,United States,-3.118566,1,1985q4,1985,309,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1/1/1986,USA,111,United States,-3.035475,1,1986q1,1986,312,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4/1/1986,USA,111,United States,-3.140975,1,1986q2,1986,315,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7/1/1986,USA,111,United States,-3.303102,1,1986q3,1986,318,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10/1/1986,USA,111,United States,-3.368754,1,1986q4,1986,321,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1/1/1987,USA,111,United States,-3.326023,1,1987q1,1987,324,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4/1/1987,USA,111,United States,-3.327813,1,1987q2,1987,327,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7/1/1987,USA,111,United States,-3.286195,1,1987q3,1987,330,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10/1/1987,USA,111,United States,-3.297288,1,1987q4,1987,333,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1/1/1988,USA,111,United States,-2.598035,1,1988q1,1988,336,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4/1/1988,USA,111,United States,-2.227036,1,1988q2,1988,339,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7/1/1988,USA,111,United States,-2.114319,1,1988q3,1988,342,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10/1/1988,USA,111,United States,-2.325174,1,1988q4,1988,345,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1/1/1989,USA,111,United States,-2.067914,1,1989q1,1989,348,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4/1/1989,USA,111,United States,-1.793722,1,1989q2,1989,351,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7/1/1989,USA,111,United States,-1.548628,1,1989q3,1989,354,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10/1/1989,USA,111,United States,-1.654708,1,1989q4,1989,357,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1/1/1990,USA,111,United States,-1.610571,1,1990q1,1990,360,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4/1/1990,USA,111,United States,-1.310329,1,1990q2,1990,363,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7/1/1990,USA,111,United States,-1.432192,1,1990q3,1990,366,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10/1/1990,USA,111,United States,-0.9497841,1,1990q4,1990,369,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1/1/1991,USA,111,United States,0.6599308,1,1991q1,1991,372,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4/1/1991,USA,111,United States,0.1648479,1,1991q2,1991,375,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7/1/1991,USA,111,United States,-0.2698061,1,1991q3,1991,378,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10/1/1991,USA,111,United States,-0.3448617,1,1991q4,1991,381,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1/1/1992,USA,111,United States,-0.3918843,1,1992q1,1992,384,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4/1/1992,USA,111,United States,-0.7349983,1,1992q2,1992,387,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7/1/1992,USA,111,United States,-0.8956177,1,1992q3,1992,390,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10/1/1992,USA,111,United States,-1.124835,1,1992q4,1992,393,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1/1/1993,USA,111,United States,-0.878347,1,1993q1,1993,396,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4/1/1993,USA,111,United States,-1.214815,1,1993q2,1993,399,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7/1/1993,USA,111,United States,-1.238111,1,1993q3,1993,402,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10/1/1993,USA,111,United States,-1.600174,1,1993q4,1993,405,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1/1/1994,USA,111,United States,-1.404284,1,1994q1,1994,408,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4/1/1994,USA,111,United States,-1.577385,1,1994q2,1994,411,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7/1/1994,USA,111,United States,-1.724604,1,1994q3,1994,414,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10/1/1994,USA,111,United States,-1.955391,1,1994q4,1994,417,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1/1/1995,USA,111,United States,-1.671512,1,1995q1,1995,420,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4/1/1995,USA,111,United States,-1.689118,1,1995q2,1995,423,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7/1/1995,USA,111,United States,-1.404481,1,1995q3,1995,426,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10/1/1995,USA,111,United States,-1.191212,1,1995q4,1995,429,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1/1/1996,USA,111,United States,-1.394935,1,1996q1,1996,432,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4/1/1996,USA,111,United States,-1.4859,1,1996q2,1996,435,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7/1/1996,USA,111,United States,-1.773764,1,1996q3,1996,438,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10/1/1996,USA,111,United States,-1.522318,1,1996q4,1996,441,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1/1/1997,USA,111,United States,-1.72572,1,1997q1,1997,444,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4/1/1997,USA,111,United States,-1.352205,1,1997q2,1997,447,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7/1/1997,USA,111,United States,-1.510685,1,1997q3,1997,450,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10/1/1997,USA,111,United States,-1.967897,1,1997q4,1997,453,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1/1/1998,USA,111,United States,-1.985185,1,1998q1,1998,456,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4/1/1998,USA,111,United States,-2.289887,1,1998q2,1998,459,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7/1/1998,USA,111,United States,-2.58254,1,1998q3,1998,462,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10/1/1998,USA,111,United States,-2.617777,1,1998q4,1998,465,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1/1/1999,USA,111,United States,-2.585638,1,1999q1,1999,468,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4/1/1999,USA,111,United States,-2.853475,1,1999q2,1999,471,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7/1/1999,USA,111,United States,-3.143675,1,1999q3,1999,474,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10/1/1999,USA,111,United States,-3.300348,1,1999q4,1999,477,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1/1/2000,USA,111,United States,-3.790054,1,2000q1,2000,480,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4/1/2000,USA,111,United States,-3.762476,1,2000q2,2000,483,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7/1/2000,USA,111,United States,-4.0501,1,2000q3,2000,486,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10/1/2000,USA,111,United States,-4.073653,1,2000q4,2000,489,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1/1/2001,USA,111,United States,-4.092976,1,2001q1,2001,492,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4/1/2001,USA,111,United States,-3.594717,1,2001q2,2001,495,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7/1/2001,USA,111,United States,-3.903937,1,2001q3,2001,498,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10/1/2001,USA,111,United States,-3.311788,1,2001q4,2001,501,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1/1/2002,USA,111,United States,-3.806111,1,2002q1,2002,504,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4/1/2002,USA,111,United States,-4.212883,1,2002q2,2002,507,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7/1/2002,USA,111,United States,-4.182578,1,2002q3,2002,510,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10/1/2002,USA,111,United States,-4.483144,1,2002q4,2002,513,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1/1/2003,USA,111,United States,-4.84555,1,2003q1,2003,516,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4/1/2003,USA,111,United States,-4.573099,1,2003q2,2003,519,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7/1/2003,USA,111,United States,-4.499308,1,2003q3,2003,522,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10/1/2003,USA,111,United States,-4.331888,1,2003q4,2003,525,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1/1/2004,USA,111,United States,-4.595617,1,2004q1,2004,528,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4/1/2004,USA,111,United States,-5.155169,1,2004q2,2004,531,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7/1/2004,USA,111,United States,-5.249833,1,2004q3,2004,534,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10/1/2004,USA,111,United States,-5.788709,1,2004q4,2004,537,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1/1/2005,USA,111,United States,-5.351928,1,2005q1,2005,540,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4/1/2005,USA,111,United States,-5.591482,1,2005q2,2005,543,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7/1/2005,USA,111,United States,-5.727707,1,2005q3,2005,546,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10/1/2005,USA,111,United States,-6.291498,1,2005q4,2005,549,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1/1/2006,USA,111,United States,-5.868186,1,2006q1,2006,552,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4/1/2006,USA,111,United States,-5.960785,1,2006q2,2006,555,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7/1/2006,USA,111,United States,-6.299612,1,2006q3,2006,558,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10/1/2006,USA,111,United States,-5.520002,1,2006q4,2006,561,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1/1/2007,USA,111,United States,-5.636464,1,2007q1,2007,564,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4/1/2007,USA,111,United States,-5.369613,1,2007q2,2007,567,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7/1/2007,USA,111,United States,-4.827096,1,2007q3,2007,570,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10/1/2007,USA,111,United States,-4.543482,1,2007q4,2007,573,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1/1/2008,USA,111,United States,-4.957904,1,2008q1,2008,576,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4/1/2008,USA,111,United States,-4.838413,1,2008q2,2008,579,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7/1/2008,USA,111,United States,-4.784053,1,2008q3,2008,582,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10/1/2008,USA,111,United States,-4.277841,1,2008q4,2008,585,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1/1/2009,USA,111,United States,-2.755254,1,2009q1,2009,588,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4/1/2009,USA,111,United States,-2.422295,1,2009q2,2009,591,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7/1/2009,USA,111,United States,-2.529857,1,2009q3,2009,594,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10/1/2009,USA,111,United States,-2.78076,1,2009q4,2009,597,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1/1/2010,USA,111,United States,-2.791378,1,2010q1,2010,600,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4/1/2010,USA,111,United States,-2.983566,1,2010q2,2010,603,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7/1/2010,USA,111,United States,-3.080756,1,2010q3,2010,606,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10/1/2010,USA,111,United States,-2.628986,1,2010q4,2010,609,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1/1/2011,USA,111,United States,-3.106834,1,2011q1,2011,612,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4/1/2011,USA,111,United States,-3.070794,1,2011q2,2011,615,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7/1/2011,USA,111,United States,-2.731651,1,2011q3,2011,618,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10/1/2011,USA,111,United States,-2.7716,1,2011q4,2011,621,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1/1/2012,USA,111,United States,-2.835606,1,2012q1,2012,624,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4/1/2012,USA,111,United States,-2.714956,1,2012q2,2012,627,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7/1/2012,USA,111,United States,-2.423254,1,2012q3,2012,630,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10/1/2012,USA,111,United States,-2.323936,1,2012q4,2012,633,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
