date,ccode,cn,Country,year,idc,ldc,emg,eap,eca,mena,sa,we,na,ssa,lac,oil,emg2,fc,ez,euro_start
7/1/1980,USA,111,United States,1980,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10/1/1980,USA,111,United States,1980,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1/1/1981,USA,111,United States,1981,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4/1/1981,USA,111,United States,1981,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7/1/1981,USA,111,United States,1981,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10/1/1981,USA,111,United States,1981,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1/1/1982,USA,111,United States,1982,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4/1/1982,USA,111,United States,1982,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7/1/1982,USA,111,United States,1982,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10/1/1982,USA,111,United States,1982,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1/1/1983,USA,111,United States,1983,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4/1/1983,USA,111,United States,1983,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7/1/1983,USA,111,United States,1983,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10/1/1983,USA,111,United States,1983,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1/1/1984,USA,111,United States,1984,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4/1/1984,USA,111,United States,1984,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7/1/1984,USA,111,United States,1984,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10/1/1984,USA,111,United States,1984,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1/1/1985,USA,111,United States,1985,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4/1/1985,USA,111,United States,1985,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7/1/1985,USA,111,United States,1985,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10/1/1985,USA,111,United States,1985,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1/1/1986,USA,111,United States,1986,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4/1/1986,USA,111,United States,1986,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7/1/1986,USA,111,United States,1986,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10/1/1986,USA,111,United States,1986,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1/1/1987,USA,111,United States,1987,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4/1/1987,USA,111,United States,1987,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7/1/1987,USA,111,United States,1987,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10/1/1987,USA,111,United States,1987,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1/1/1988,USA,111,United States,1988,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4/1/1988,USA,111,United States,1988,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7/1/1988,USA,111,United States,1988,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10/1/1988,USA,111,United States,1988,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1/1/1989,USA,111,United States,1989,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4/1/1989,USA,111,United States,1989,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7/1/1989,USA,111,United States,1989,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10/1/1989,USA,111,United States,1989,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1/1/1990,USA,111,United States,1990,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4/1/1990,USA,111,United States,1990,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7/1/1990,USA,111,United States,1990,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10/1/1990,USA,111,United States,1990,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1/1/1991,USA,111,United States,1991,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4/1/1991,USA,111,United States,1991,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7/1/1991,USA,111,United States,1991,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10/1/1991,USA,111,United States,1991,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1/1/1992,USA,111,United States,1992,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4/1/1992,USA,111,United States,1992,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7/1/1992,USA,111,United States,1992,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10/1/1992,USA,111,United States,1992,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1/1/1993,USA,111,United States,1993,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4/1/1993,USA,111,United States,1993,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7/1/1993,USA,111,United States,1993,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10/1/1993,USA,111,United States,1993,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1/1/1994,USA,111,United States,1994,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4/1/1994,USA,111,United States,1994,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7/1/1994,USA,111,United States,1994,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10/1/1994,USA,111,United States,1994,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1/1/1995,USA,111,United States,1995,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4/1/1995,USA,111,United States,1995,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7/1/1995,USA,111,United States,1995,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10/1/1995,USA,111,United States,1995,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1/1/1996,USA,111,United States,1996,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4/1/1996,USA,111,United States,1996,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7/1/1996,USA,111,United States,1996,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10/1/1996,USA,111,United States,1996,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1/1/1997,USA,111,United States,1997,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4/1/1997,USA,111,United States,1997,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7/1/1997,USA,111,United States,1997,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10/1/1997,USA,111,United States,1997,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1/1/1998,USA,111,United States,1998,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4/1/1998,USA,111,United States,1998,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7/1/1998,USA,111,United States,1998,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10/1/1998,USA,111,United States,1998,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1/1/1999,USA,111,United States,1999,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4/1/1999,USA,111,United States,1999,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7/1/1999,USA,111,United States,1999,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10/1/1999,USA,111,United States,1999,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1/1/2000,USA,111,United States,2000,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4/1/2000,USA,111,United States,2000,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7/1/2000,USA,111,United States,2000,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10/1/2000,USA,111,United States,2000,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1/1/2001,USA,111,United States,2001,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4/1/2001,USA,111,United States,2001,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7/1/2001,USA,111,United States,2001,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10/1/2001,USA,111,United States,2001,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1/1/2002,USA,111,United States,2002,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4/1/2002,USA,111,United States,2002,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7/1/2002,USA,111,United States,2002,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10/1/2002,USA,111,United States,2002,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1/1/2003,USA,111,United States,2003,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4/1/2003,USA,111,United States,2003,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7/1/2003,USA,111,United States,2003,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10/1/2003,USA,111,United States,2003,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1/1/2004,USA,111,United States,2004,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4/1/2004,USA,111,United States,2004,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7/1/2004,USA,111,United States,2004,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10/1/2004,USA,111,United States,2004,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1/1/2005,USA,111,United States,2005,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4/1/2005,USA,111,United States,2005,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7/1/2005,USA,111,United States,2005,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10/1/2005,USA,111,United States,2005,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1/1/2006,USA,111,United States,2006,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4/1/2006,USA,111,United States,2006,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7/1/2006,USA,111,United States,2006,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10/1/2006,USA,111,United States,2006,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1/1/2007,USA,111,United States,2007,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4/1/2007,USA,111,United States,2007,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7/1/2007,USA,111,United States,2007,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10/1/2007,USA,111,United States,2007,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1/1/2008,USA,111,United States,2008,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4/1/2008,USA,111,United States,2008,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7/1/2008,USA,111,United States,2008,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10/1/2008,USA,111,United States,2008,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1/1/2009,USA,111,United States,2009,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4/1/2009,USA,111,United States,2009,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7/1/2009,USA,111,United States,2009,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10/1/2009,USA,111,United States,2009,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1/1/2010,USA,111,United States,2010,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4/1/2010,USA,111,United States,2010,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7/1/2010,USA,111,United States,2010,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10/1/2010,USA,111,United States,2010,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1/1/2011,USA,111,United States,2011,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4/1/2011,USA,111,United States,2011,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7/1/2011,USA,111,United States,2011,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10/1/2011,USA,111,United States,2011,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1/1/2012,USA,111,United States,2012,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4/1/2012,USA,111,United States,2012,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7/1/2012,USA,111,United States,2012,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10/1/2012,USA,111,United States,2012,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1/1/2013,USA,111,United States,2013,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4/1/2013,USA,111,United States,2013,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7/1/2013,USA,111,United States,2013,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10/1/2013,USA,111,United States,2013,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
