cn,ccode,cn_2,date2,pct_ca,ca,pct_ca_sa_2,date3
196,NZL,New Zealand,7/1/2006,-10.9346441924572,-6.30747771814936,-7.7064003,2006q3
196,NZL,New Zealand,10/1/2006,-9.25146043300629,-6.89544579858884,-7.7442349,2006q4
196,NZL,New Zealand,1/1/2007,-5.06352074444294,-7.30265839409447,-8.628997200000001,2007q1
196,NZL,New Zealand,4/1/2007,-7.17202872037888,-7.2503147988601,-8.3447674,2007q2
196,NZL,New Zealand,7/1/2007,-12.1530838310719,-6.99600841237821,-8.9247721,2007q3
196,NZL,New Zealand,10/1/2007,-7.83894136548042,-5.69841639990672,-6.3248194,2007q4
196,NZL,New Zealand,1/1/2008,-4.55602928996086,-6.71083070452156,-8.123656,2008q1
196,NZL,New Zealand,4/1/2008,-8.62300470471382,-8.978491225852659,-9.80115389999999,2008q2
196,NZL,New Zealand,7/1/2008,-13.3026108145714,-8.3407899782692,-10.075504,2008q3
196,NZL,New Zealand,10/1/2008,-8.770769834518431,-6.71635506147886,-7.2468641,2008q4
196,NZL,New Zealand,1/1/2009,-1.26655278727412,-4.0888589132909,-4.835547,2009q1
196,NZL,New Zealand,4/1/2009,.560846365988255,-.661372875286981,-.62320166,2009q2
196,NZL,New Zealand,7/1/2009,-3.3299133181572,.702386872202884,-.1062066,2009q3
196,NZL,New Zealand,10/1/2009,-7.1493461728096,-5.00698553583169,-5.6173863,2009q4
196,NZL,New Zealand,1/1/2010,.332796527072787,-.981336544250451,-3.2371023,2010q1
196,NZL,New Zealand,4/1/2010,-2.0481813699007,-1.77626983334996,-3.2346788,2010q2
196,NZL,New Zealand,7/1/2010,-7.37016648054123,-1.94729223264392,-4.1477041,2010q3
196,NZL,New Zealand,10/1/2010,-7.26786851882935,-4.21871639982015,-5.7322922,2010q4
196,NZL,New Zealand,1/1/2011,-.195783865638077,-3.18229388735998,-3.7669962,2011q1
196,NZL,New Zealand,4/1/2011,,-2.3810431599817,,2011q2
196,NZL,New Zealand,7/1/2011,,-3.22816489511276,,2011q3
196,NZL,New Zealand,10/1/2011,,-2.43456522955805,,2011q4
196,NZL,New Zealand,1/1/2012,,-4.64534905413977,,2012q1
196,NZL,New Zealand,4/1/2012,,-4.10407281419509,,2012q2
196,NZL,New Zealand,7/1/2012,,-3.3000055649335,,2012q3
196,NZL,New Zealand,10/1/2012,,-3.66115366115366,,2012q4
196,NZL,New Zealand,1/1/2013,,-3.55375047594872,,2013q1
196,NZL,New Zealand,4/1/2013,,-3.85347117524589,,2013q2
196,NZL,New Zealand,7/1/2013,,-3.60828324241687,,2013q3
196,NZL,New Zealand,10/1/2013,,-1.44351007939305,,2013q4
196,NZL,New Zealand,1/1/2014,,-1.29420617005267,,2014q1
196,NZL,New Zealand,4/1/2014,,-3.61974344859798,,2014q2
196,NZL,New Zealand,7/1/2014,,-3.79482418475107,,2014q3
196,NZL,New Zealand,10/1/2014,,-3.7496712256707,,2014q4
196,NZL,New Zealand,1/1/2015,,-2.72799649048694,,2015q1
196,NZL,New Zealand,4/1/2015,,-3.37376981414058,,2015q2
